Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.67836739
Total DOS in Cell and MT Volumes =   18.70064485  16.98079945
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  2     0           0.67158328           1.81816163           1.62090449
  2     1           0.67158328           1.81816163           1.62090449
  2     2           0.67158328           1.81816163           1.62090449
  3    -3           0.00287244           0.01042250           0.00380850
  3    -2           0.00287244           0.01042250           0.00380850
  3    -1           0.00287244           0.01042250           0.00380850
  3     0           0.00287244           0.01042250           0.00380850
  3     1           0.00287244           0.01042250           0.00380850
  3     2           0.00287244           0.01042250           0.00380850
  3     3           0.00287244           0.01042250           0.00380850
  4    -4           0.00008862           0.00068048           0.00016902
  4    -3           0.00008862           0.00068048           0.00016902
  4    -2           0.00008862           0.00068048           0.00016902
  4    -1           0.00008862           0.00068048           0.00016902
  4     0           0.00008862           0.00068048           0.00016902
  4     1           0.00008862           0.00068048           0.00016902
  4     2           0.00008862           0.00068048           0.00016902
  4     3           0.00008862           0.00068048           0.00016902
  4     4           0.00008862           0.00068048           0.00016902
Atom: V , Spin: 2, Partial Phase Shift and DOS at Energy =    0.67836739
Total DOS in Cell and MT Volumes =   18.70064485  16.98079945
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.74431833           0.43679229           0.30513967
  1    -1          -0.19877629           0.25680699           0.14860433
  1     0          -0.19877629           0.25680699           0.14860433
  1     1          -0.19877629           0.25680699           0.14860433
  2    -2           0.99939486           3.48326682           3.24056895
  2    -1           0.99939486           3.48326682           3.24056895
  2     0           0.99939486           3.48326682           3.24056895
  2     1           0.99939486           3.48326682           3.24056895
  2     2           0.99939486           3.48326682           3.24056895
  3    -3           0.00200557           0.01014785           0.00364489
  3    -2           0.00200557           0.01014785           0.00364489
  3    -1           0.00200557           0.01014785           0.00364489
  3     0           0.00200557           0.01014785           0.00364489
  3     1           0.00200557           0.01014785           0.00364489
  3     2           0.00200557           0.01014785           0.00364489
  3     3           0.00200557           0.01014785           0.00364489
  4    -4           0.00005108           0.00067361           0.00016532
  4    -3           0.00005108           0.00067361           0.00016532
  4    -2           0.00005108           0.00067361           0.00016532
  4    -1           0.00005108           0.00067361           0.00016532
  4     0           0.00005108           0.00067361           0.00016532
  4     1           0.00005108           0.00067361           0.00016532
  4     2           0.00005108           0.00067361           0.00016532
  4     3           0.00005108           0.00067361           0.00016532
  4     4           0.00005108           0.00067361           0.00016532
Atom: Nb, Spin: 2, Partial Phase Shift and DOS at Energy =    0.67836739
Total DOS in Cell and MT Volumes =   11.67789843  10.01694421
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.91243890           0.36181426           0.23259686
  1    -1          -0.36011087           0.18676683           0.10282004
  1     0          -0.36011087           0.18676683           0.10282004
  1     1          -0.36011087           0.18676683           0.10282004
  2    -2           1.24604166           2.13257407           1.88773753
  2    -1           1.24604166           2.13257407           1.88773753
  2     0           1.24604166           2.13257407           1.88773753
  2     1           1.24604166           2.13257407           1.88773753
  2     2           1.24604166           2.13257407           1.88773753
  3    -3           0.00793959           0.01235555           0.00507249
  3    -2           0.00793959           0.01235555           0.00507249
  3    -1           0.00793959           0.01235555           0.00507249
  3     0           0.00793959           0.01235555           0.00507249
  3     1           0.00793959           0.01235555           0.00507249
  3     2           0.00793959           0.01235555           0.00507249
  3     3           0.00793959           0.01235555           0.00507249
  4    -4           0.00025687           0.00071383           0.00018802
  4    -3           0.00025687           0.00071383           0.00018802
  4    -2           0.00025687           0.00071383           0.00018802
  4    -1           0.00025687           0.00071383           0.00018802
  4     0           0.00025687           0.00071383           0.00018802
  4     1           0.00025687           0.00071383           0.00018802
  4     2           0.00025687           0.00071383           0.00018802
  4     3           0.00025687           0.00071383           0.00018802
  4     4           0.00025687           0.00071383           0.00018802
Atom: Ta, Spin: 2, Partial Phase Shift and DOS at Energy =    0.67836739
Total DOS in Cell and MT Volumes =   10.76772215   9.12072589
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.89764775           0.36229668           0.23257447
  1    -1          -0.37311280           0.17971659           0.09778003
  1     0          -0.37311280           0.17971659           0.09778003
  1     1          -0.37311280           0.17971659           0.09778003
  2    -2           1.27389221           1.95493300           1.71172004
  2    -1           1.27389221           1.95493300           1.71172004
  2     0           1.27389221           1.95493300           1.71172004
  2     1           1.27389221           1.95493300           1.71172004
  2     2           1.27389221           1.95493300           1.71172004
  3    -3           0.00757082           0.01215741           0.00492420
  3    -2           0.00757082           0.01215741           0.00492420
  3    -1           0.00757082           0.01215741           0.00492420
  3     0           0.00757082           0.01215741           0.00492420
  3     1           0.00757082           0.01215741           0.00492420
  3     2           0.00757082           0.01215741           0.00492420
  3     3           0.00757082           0.01215741           0.00492420
  4    -4           0.00030165           0.00072320           0.00019353
  4    -3           0.00030165           0.00072320           0.00019353
  4    -2           0.00030165           0.00072320           0.00019353
  4    -1           0.00030165           0.00072320           0.00019353
  4     0           0.00030165           0.00072320           0.00019353
  4     1           0.00030165           0.00072320           0.00019353
  4     2           0.00030165           0.00072320           0.00019353
  4     3           0.00030165           0.00072320           0.00019353
  4     4           0.00030165           0.00072320           0.00019353
Atom: Ti, Spin: 2, Partial Phase Shift and DOS at Energy =    0.67836739
Total DOS in Cell and MT Volumes =   10.28355161   8.81027766
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.81638082           0.40684748           0.27534674
  1    -1          -0.24448376           0.23560470           0.13407594
  1     0          -0.24448376           0.23560470           0.13407594
  1     1          -0.24448376           0.23560470           0.13407594
  2    -2           0.67158328           1.81816163           1.62090449
  2    -1           0.67158328           1.81816163           1.62090449
  2     0           0.67158328           1.81816163           1.62090449
  2     1           0.67158328           1.81816163           1.62090449
  2     2           0.67158328           1.81816163           1.62090449
  3    -3           0.00287244           0.01042250           0.00380850
  3    -2           0.00287244           0.01042250           0.00380850
  3    -1           0.00287244           0.01042250           0.00380850
  3     0           0.00287244           0.01042250           0.00380850
  3     1           0.00287244           0.01042250           0.00380850
  3     2           0.00287244           0.01042250           0.00380850
  3     3           0.00287244           0.01042250           0.00380850
  4    -4           0.00008862           0.00068048           0.00016902
  4    -3           0.00008862           0.00068048           0.00016902
  4    -2           0.00008862           0.00068048           0.00016902
  4    -1           0.00008862           0.00068048           0.00016902
  4     0           0.00008862           0.00068048           0.00016902
  4     1           0.00008862           0.00068048           0.00016902
  4     2           0.00008862           0.00068048           0.00016902
  4     3           0.00008862           0.00068048           0.00016902
  4     4           0.00008862           0.00068048           0.00016902
