Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.63539201
Total DOS in Cell and MT Volumes =   17.69648775  15.49225521
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  2    -1           0.65549850           2.97469262           2.65886433
  2     0           0.65549850           1.14764694           1.02509391
  2     1           0.65549850           2.97469262           2.65886433
  2     2           0.65549850           2.06116978           1.84197912
  3    -3           0.00262415           0.04828648           0.01755162
  3    -2           0.00262415           0.06398800           0.02325880
  3    -1           0.00262415           0.06188751           0.02249472
  3     0           0.00262415           0.02788494           0.01013696
  3     1           0.00262415           0.06188751           0.02249472
  3     2           0.00262415           0.06398800           0.02325880
  3     3           0.00262415           0.04828648           0.01755162
  4    -4           0.00007913           0.00709325           0.00175419
  4    -3           0.00007913           0.01272565           0.00314750
  4    -2           0.00007913           0.00909323           0.00224907
  4    -1           0.00007913           0.00956007           0.00236419
  4     0           0.00007913           0.00524234           0.00129661
  4     1           0.00007913           0.00956007           0.00236419
  4     2           0.00007913           0.00909323           0.00224907
  4     3           0.00007913           0.01272565           0.00314750
  4     4           0.00007913           0.00709325           0.00175419
Atom: V , Spin: 2, Partial Phase Shift and DOS at Energy =    0.63539201
Total DOS in Cell and MT Volumes =   17.69648775  15.49225521
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.69298647           0.28484891           0.20054796
  1    -1          -0.17414583           0.62956408           0.36549334
  1     0          -0.17414583           0.62956408           0.36549334
  1     1          -0.17414583           0.62956408           0.36549334
  2    -2           0.98411290           2.76361061           2.57523929
  2    -1           0.98411290           4.01560693           3.74224023
  2     0           0.98411290           1.51161428           1.40823836
  2     1           0.98411290           4.01560693           3.74224023
  2     2           0.98411290           2.76361061           2.57523929
  3    -3           0.00180525           0.04709204           0.01681343
  3    -2           0.00180525           0.06250530           0.02231631
  3    -1           0.00180525           0.06048895           0.02159588
  3     0           0.00180525           0.02699668           0.00963977
  3     1           0.00180525           0.06048895           0.02159588
  3     2           0.00180525           0.06250530           0.02231631
  3     3           0.00180525           0.04709204           0.01681343
  4    -4           0.00004480           0.00706630           0.00172581
  4    -3           0.00004480           0.01377770           0.00336534
  4    -2           0.00004480           0.00976625           0.00238550
  4    -1           0.00004480           0.00963480           0.00235306
  4     0           0.00004480           0.00523786           0.00127941
  4     1           0.00004480           0.00963480           0.00235306
  4     2           0.00004480           0.00976625           0.00238550
  4     3           0.00004480           0.01377770           0.00336534
  4     4           0.00004480           0.00706630           0.00172581
Atom: Nb, Spin: 2, Partial Phase Shift and DOS at Energy =    0.63539201
Total DOS in Cell and MT Volumes =   10.13658110   7.95762851
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.85221875           0.31607741           0.20531918
  1    -1          -0.32448039           0.68473466           0.37658038
  1     0          -0.32448039           0.68473466           0.37658038
  1     1          -0.32448039           0.68473466           0.37658038
  2    -2           1.23637513           1.33776505           1.18679658
  2    -1           1.23637513           1.88661860           1.67371501
  2     0           1.23637513           0.78891150           0.69987815
  2     1           1.23637513           1.88661860           1.67371501
  2     2           1.23637513           1.33776505           1.18679658
  3    -3           0.00704660           0.05626419           0.02289729
  3    -2           0.00704660           0.07358416           0.02994570
  3    -1           0.00704660           0.07108320           0.02892697
  3     0           0.00704660           0.03403567           0.01385277
  3     1           0.00704660           0.07108320           0.02892697
  3     2           0.00704660           0.07358416           0.02994570
  3     3           0.00704660           0.05626419           0.02289729
  4    -4           0.00022143           0.00751821           0.00196810
  4    -3           0.00022143           0.01508863           0.00395031
  4    -2           0.00022143           0.01068674           0.00279787
  4    -1           0.00022143           0.01023776           0.00267994
  4     0           0.00022143           0.00565944           0.00148171
  4     1           0.00022143           0.01023776           0.00267994
  4     2           0.00022143           0.01068674           0.00279787
  4     3           0.00022143           0.01508863           0.00395031
  4     4           0.00022143           0.00751821           0.00196810
Atom: Ta, Spin: 2, Partial Phase Shift and DOS at Energy =    0.63539201
Total DOS in Cell and MT Volumes =    9.32671648   7.17987728
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.83520091           0.30632563           0.19885812
  1    -1          -0.33631205           0.67161074           0.36513087
  1     0          -0.33631205           0.67161074           0.36513087
  1     1          -0.33631205           0.67161074           0.36513087
  2    -2           1.26497032           1.19913264           1.05240080
  2    -1           1.26497032           1.68367567           1.47764367
  2     0           1.26497032           0.71458962           0.62715793
  2     1           1.26497032           1.68367567           1.47764367
  2     2           1.26497032           1.19913264           1.05240080
  3    -3           0.00681044           0.05572001           0.02239797
  3    -2           0.00681044           0.07271167           0.02922805
  3    -1           0.00681044           0.07034264           0.02827492
  3     0           0.00681044           0.03378606           0.01358253
  3     1           0.00681044           0.07034264           0.02827492
  3     2           0.00681044           0.07271167           0.02922805
  3     3           0.00681044           0.05572001           0.02239797
  4    -4           0.00025956           0.00761077           0.00202325
  4    -3           0.00025956           0.01531701           0.00407233
  4    -2           0.00025956           0.01085018           0.00288474
  4    -1           0.00025956           0.01036622           0.00275567
  4     0           0.00025956           0.00572935           0.00152329
  4     1           0.00025956           0.01036622           0.00275567
  4     2           0.00025956           0.01085018           0.00288474
  4     3           0.00025956           0.01531701           0.00407233
  4     4           0.00025956           0.00761077           0.00202325
Atom: Ti, Spin: 2, Partial Phase Shift and DOS at Energy =    0.63539201
Total DOS in Cell and MT Volumes =   13.96214017  11.52142329
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.76092518           0.29820147           0.20367540
  1    -1          -0.21546882           0.66205711           0.37796445
  1     0          -0.21546882           0.66205711           0.37796445
  1     1          -0.21546882           0.66205711           0.37796445
  2    -2           0.65549850           2.06116978           1.84197912
  2    -1           0.65549850           2.97469262           2.65886433
  2     0           0.65549850           1.14764694           1.02509391
  2     1           0.65549850           2.97469262           2.65886433
  2     2           0.65549850           2.06116978           1.84197912
  3    -3           0.00262415           0.04828648           0.01755162
  3    -2           0.00262415           0.06398800           0.02325880
  3    -1           0.00262415           0.06188751           0.02249472
  3     0           0.00262415           0.02788494           0.01013696
  3     1           0.00262415           0.06188751           0.02249472
  3     2           0.00262415           0.06398800           0.02325880
  3     3           0.00262415           0.04828648           0.01755162
  4    -4           0.00007913           0.00709325           0.00175419
  4    -3           0.00007913           0.01272565           0.00314750
  4    -2           0.00007913           0.00909323           0.00224907
  4    -1           0.00007913           0.00956007           0.00236419
  4     0           0.00007913           0.00524234           0.00129661
  4     1           0.00007913           0.00956007           0.00236419
  4     2           0.00007913           0.00909323           0.00224907
  4     3           0.00007913           0.01272565           0.00314750
  4     4           0.00007913           0.00709325           0.00175419
