Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.79348892
Total DOS in Cell and MT Volumes =   18.90703739  14.58161826
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.07720588           0.99125355           0.60349376
  1    -1          -0.45961361           1.34956314           0.71606456
  1     0          -0.45965129           1.21972619           0.64477535
  1     1          -0.45961360           1.35077007           0.71606456
  2    -2           1.13043155           2.95154244           2.59899560
  2    -1           1.18517980           2.88830627           2.58483685
  2     0           1.07474940           1.40836263           1.18094055
  2     1           1.18517982           2.89848396           2.58483683
  2     2           1.13042810           2.95270511           2.59899560
  3    -3           0.00874253           0.10733554           0.03688673
  3    -2           0.01045011           0.11431380           0.05282699
  3    -1           0.00890724           0.13423208           0.04852005
  3     0           0.00848866           0.06456941           0.01947498
  3     1           0.00890725           0.13423671           0.04852005
  3     2           0.01045011           0.11474641           0.05282699
  3     3           0.00874255           0.10854462           0.03688673
  4    -4           0.00021219           0.00993124           0.00238258
  4    -3           0.00034723           0.00960974           0.00982360
  4    -2           0.00029587           0.01317632           0.01156213
  4    -1           0.00022467           0.01163429           0.00337780
  4     0           0.00021798           0.01486145           0.00237983
  4     1           0.00022467           0.01164187           0.00337780
  4     2           0.00029587           0.01280725           0.01156214
  4     3           0.00034723           0.02057060           0.00982361
  4     4           0.00021219           0.01411270           0.00238258
