Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65649051
Total DOS in Cell and MT Volumes =    4.62509064   3.89267431
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.13120484           0.93114307           0.76931012
  1    -1           0.07849433           0.55547966           0.38796037
  1     0           0.07849433           0.55547966           0.38796037
  1     1           0.07849433           0.55547966           0.38796037
  2    -2           2.98050226           0.39587851           0.38776886
  2    -1           2.98050226           0.39587851           0.38776886
  2     0           2.98050226           0.39587851           0.38776886
  2     1           2.98050226           0.39587851           0.38776886
  2     2           2.98050226           0.39587851           0.38776886
  3    -3           0.00144579           0.00687372           0.00294840
  3    -2           0.00144579           0.00687372           0.00294840
  3    -1           0.00144579           0.00687372           0.00294840
  3     0           0.00144579           0.00687372           0.00294840
  3     1           0.00144579           0.00687372           0.00294840
  3     2           0.00144579           0.00687372           0.00294840
  3     3           0.00144579           0.00687372           0.00294840
