Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.54710650
Total DOS in Cell and MT Volumes =    9.54118827   7.72403418
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
Atom: Hf, Spin: 2, Partial Phase Shift and DOS at Energy =    0.54710650
Total DOS in Cell and MT Volumes =    9.54118827   7.72403418
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.78117019           0.45575606           0.29891573
  1    -1          -0.30935948           0.21579609           0.11702843
  1     0          -0.30935948           0.21579609           0.11702843
  1     1          -0.30935948           0.21579609           0.11702843
  2    -2           0.77855568           1.67097895           1.40840051
  2    -1           0.77855568           1.67097895           1.40840051
  2     0           0.77855568           1.67097895           1.40840051
  2     1           0.77855568           1.67097895           1.40840051
  2     2           0.77855568           1.67097895           1.40840051
  3    -3           0.00513493           0.01107057           0.00436449
  3    -2           0.00513493           0.01107057           0.00436449
  3    -1           0.00513493           0.01107057           0.00436449
  3     0           0.00513493           0.01107057           0.00436449
  3     1           0.00513493           0.01107057           0.00436449
  3     2           0.00513493           0.01107057           0.00436449
  3     3           0.00513493           0.01107057           0.00436449
  4    -4           0.00019829           0.00062836           0.00016435
  4    -3           0.00019829           0.00062836           0.00016435
  4    -2           0.00019829           0.00062836           0.00016435
  4    -1           0.00019829           0.00062836           0.00016435
  4     0           0.00019829           0.00062836           0.00016435
  4     1           0.00019829           0.00062836           0.00016435
  4     2           0.00019829           0.00062836           0.00016435
  4     3           0.00019829           0.00062836           0.00016435
  4     4           0.00019829           0.00062836           0.00016435
Atom: Mo, Spin: 2, Partial Phase Shift and DOS at Energy =    0.54710650
Total DOS in Cell and MT Volumes =   18.91926365  17.13231701
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.67197864           0.50999649           0.35203005
  1    -1          -0.21002994           0.26574601           0.14849926
  1     0          -0.21002994           0.26574601           0.14849926
  1     1          -0.21002994           0.26574601           0.14849926
  2    -2           1.65818347           3.50633330           3.26089533
  2    -1           1.65818347           3.50633330           3.26089533
  2     0           1.65818347           3.50633330           3.26089533
  2     1           1.65818347           3.50633330           3.26089533
  2     2           1.65818347           3.50633330           3.26089533
  3    -3           0.00418432           0.01069570           0.00413203
  3    -2           0.00418432           0.01069570           0.00413203
  3    -1           0.00418432           0.01069570           0.00413203
  3     0           0.00418432           0.01069570           0.00413203
  3     1           0.00418432           0.01069570           0.00413203
  3     2           0.00418432           0.01069570           0.00413203
  3     3           0.00418432           0.01069570           0.00413203
  4    -4           0.00011672           0.00061030           0.00015426
  4    -3           0.00011672           0.00061030           0.00015426
  4    -2           0.00011672           0.00061030           0.00015426
  4    -1           0.00011672           0.00061030           0.00015426
  4     0           0.00011672           0.00061030           0.00015426
  4     1           0.00011672           0.00061030           0.00015426
  4     2           0.00011672           0.00061030           0.00015426
  4     3           0.00011672           0.00061030           0.00015426
  4     4           0.00011672           0.00061030           0.00015426
Atom: Ta, Spin: 2, Partial Phase Shift and DOS at Energy =    0.54710650
Total DOS in Cell and MT Volumes =   14.72058141  12.63543072
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.70228876           0.48627588           0.32824971
  1    -1          -0.25870538           0.23911035           0.13085950
  1     0          -0.25870538           0.23911035           0.13085950
  1     1          -0.25870538           0.23911035           0.13085950
  2    -2           1.19469520           2.68678927           2.37656227
  2    -1           1.19469520           2.68678927           2.37656227
  2     0           1.19469520           2.68678927           2.37656227
  2     1           1.19469520           2.68678927           2.37656227
  2     2           1.19469520           2.68678927           2.37656227
  3    -3           0.00525829           0.01105693           0.00433225
  3    -2           0.00525829           0.01105693           0.00433225
  3    -1           0.00525829           0.01105693           0.00433225
  3     0           0.00525829           0.01105693           0.00433225
  3     1           0.00525829           0.01105693           0.00433225
  3     2           0.00525829           0.01105693           0.00433225
  3     3           0.00525829           0.01105693           0.00433225
  4    -4           0.00018479           0.00062551           0.00016283
  4    -3           0.00018479           0.00062551           0.00016283
  4    -2           0.00018479           0.00062551           0.00016283
  4    -1           0.00018479           0.00062551           0.00016283
  4     0           0.00018479           0.00062551           0.00016283
  4     1           0.00018479           0.00062551           0.00016283
  4     2           0.00018479           0.00062551           0.00016283
  4     3           0.00018479           0.00062551           0.00016283
  4     4           0.00018479           0.00062551           0.00016283
Atom: Ti, Spin: 2, Partial Phase Shift and DOS at Energy =    0.54710650
Total DOS in Cell and MT Volumes =   12.53904010  10.86732003
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.65915287           0.53339912           0.37554368
  1    -1          -0.16581874           0.29677072           0.17152501
  1     0          -0.16581874           0.29677072           0.17152501
  1     1          -0.16581874           0.29677072           0.17152501
  2    -2           0.60458615           2.20847247           1.99035524
  2    -1           0.60458615           2.20847247           1.99035524
  2     0           0.60458615           2.20847247           1.99035524
  2     1           0.60458615           2.20847247           1.99035524
  2     2           0.60458615           2.20847247           1.99035524
  3    -3           0.00180272           0.00965992           0.00344588
  3    -2           0.00180272           0.00965992           0.00344588
  3    -1           0.00180272           0.00965992           0.00344588
  3     0           0.00180272           0.00965992           0.00344588
  3     1           0.00180272           0.00965992           0.00344588
  3     2           0.00180272           0.00965992           0.00344588
  3     3           0.00180272           0.00965992           0.00344588
  4    -4           0.00004623           0.00059412           0.00014488
  4    -3           0.00004623           0.00059412           0.00014488
  4    -2           0.00004623           0.00059412           0.00014488
  4    -1           0.00004623           0.00059412           0.00014488
  4     0           0.00004623           0.00059412           0.00014488
  4     1           0.00004623           0.00059412           0.00014488
  4     2           0.00004623           0.00059412           0.00014488
  4     3           0.00004623           0.00059412           0.00014488
  4     4           0.00004623           0.00059412           0.00014488
Atom: Nb, Spin: 2, Partial Phase Shift and DOS at Energy =    0.54710650
Total DOS in Cell and MT Volumes =   15.94514781  13.85608082
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.72709902           0.48375103           0.32588948
  1    -1          -0.25112998           0.24516329           0.13550262
  1     0          -0.25112998           0.24516329           0.13550262
  1     1          -0.25112998           0.24516329           0.13550262
  2    -2           1.16799729           2.92852202           2.61831138
  2    -1           1.16799729           2.92852202           2.61831138
  2     0           1.16799729           2.92852202           2.61831138
  2     1           1.16799729           2.92852202           2.61831138
  2     2           1.16799729           2.92852202           2.61831138
  3    -3           0.00522006           0.01110430           0.00438539
  3    -2           0.00522006           0.01110430           0.00438539
  3    -1           0.00522006           0.01110430           0.00438539
  3     0           0.00522006           0.01110430           0.00438539
  3     1           0.00522006           0.01110430           0.00438539
  3     2           0.00522006           0.01110430           0.00438539
  3     3           0.00522006           0.01110430           0.00438539
  4    -4           0.00015487           0.00061852           0.00015876
  4    -3           0.00015487           0.00061852           0.00015876
  4    -2           0.00015487           0.00061852           0.00015876
  4    -1           0.00015487           0.00061852           0.00015876
  4     0           0.00015487           0.00061852           0.00015876
  4     1           0.00015487           0.00061852           0.00015876
  4     2           0.00015487           0.00061852           0.00015876
  4     3           0.00015487           0.00061852           0.00015876
  4     4           0.00015487           0.00061852           0.00015876
